Nombre_Fila,Clasificación,Reducción,Agregación,Tiempo,Pesos
Partición 1,94.87179487179486,0.0,47.43589743589743,17.603334,"[0.6538367973609795, 0.3813529105683895, 1.0, 0.25559795272686675, 0.2597235180197509, 0.20688280605902165, 0.2335073124187369, 0.20690189021899552, 0.3146994797016341, 0.2668317399817975, 0.36274014471594, 0.2804903630512167, 0.22529700056151267, 0.3627055232729539, 0.1711526178395415, 0.4049081524034297, 0.8925308145856238, 0.4165930419829554, 0.583390865622153, 0.5930971078542342, 0.36046450704969, 0.515509477231866]"
Partición 2,100.0,0.0,50.0,7.514792,"[0.5883727615729664, 0.3380820996059539, 0.5733286259626986, 0.3691699031114434, 0.25633877641320507, 0.3441324582552878, 0.3455626363661055, 0.343785179406998, 0.4983370696587025, 0.46381639312688533, 0.5816427772195751, 0.45778774089779917, 0.3809989998114293, 0.5815731793466987, 0.23818097958282602, 0.5963820045271988, 1.0, 0.7398490214832338, 0.5145454705035927, 0.7199989749935819, 0.760709987332614, 0.5224665459945449]"
Partición 3,94.87179487179486,0.0,47.43589743589743,17.254292,"[0.5883727615729664, 0.3380820996059539, 0.5733286259626986, 0.3691699031114434, 0.25633877641320507, 0.3441324582552878, 0.3455626363661055, 0.343785179406998, 0.4983370696587025, 0.46381639312688533, 0.5816427772195751, 0.45778774089779917, 0.3809989998114293, 0.5815731793466987, 0.23818097958282602, 0.5963820045271988, 1.0, 0.7398490214832338, 0.5145454705035927, 0.7199989749935819, 0.760709987332614, 0.5224665459945449]"
Partición 4,92.3076923076923,0.0,46.15384615384615,17.296791,"[0.5883727615729664, 0.3380820996059539, 0.5733286259626986, 0.3691699031114434, 0.25633877641320507, 0.3441324582552878, 0.3455626363661055, 0.343785179406998, 0.4983370696587025, 0.46381639312688533, 0.5816427772195751, 0.45778774089779917, 0.3809989998114293, 0.5815731793466987, 0.23818097958282602, 0.5963820045271988, 1.0, 0.7398490214832338, 0.5145454705035927, 0.7199989749935819, 0.760709987332614, 0.5224665459945449]"
Partición 5,94.87179487179486,0.0,47.43589743589743,7.448542,"[0.5883727615729664, 0.3380820996059539, 0.5733286259626986, 0.3691699031114434, 0.25633877641320507, 0.3441324582552878, 0.3455626363661055, 0.343785179406998, 0.4983370696587025, 0.46381639312688533, 0.5816427772195751, 0.45778774089779917, 0.3809989998114293, 0.5815731793466987, 0.23818097958282602, 0.5963820045271988, 1.0, 0.7398490214832338, 0.5145454705035927, 0.7199989749935819, 0.760709987332614, 0.5224665459945449]"
Medias ,95.38461538461539,0.0,47.69230769230769,13.4235502,"[0.6014655687305689, 0.346736261798441, 0.6586629007701589, 0.34645551303452804, 0.25701572473451423, 0.3166825278160346, 0.32315157157663177, 0.31640852156939747, 0.4616095516672889, 0.42441946249786777, 0.5378622507188482, 0.4223282653284827, 0.34985859996144597, 0.5377996481319498, 0.2247753072341691, 0.558087234102445, 0.9785061629171248, 0.6751978255831781, 0.5283145495273047, 0.6946186015657123, 0.6806608912760291, 0.5210751322420091]"
Desviación típica,2.808833628231623,0.0,1.4044168141158115,5.425894306562025,"[0.0292764068206953, 0.019351294950709808, 0.19081323928012894, 0.05079092027942935, 0.0015137024637016682, 0.06137991043981089, 0.05011266431741526, 0.0612160679216271, 0.08212522687364754, 0.08809421499132683, 0.09789623334635662, 0.07928979781948473, 0.06963205091108697, 0.09788059141138762, 0.0299759946556861, 0.08562970985249804, 0.04806168081461482, 0.14456446885918026, 0.030788596684586632, 0.05675224027904565, 0.17899522031993395, 0.0031112957354980635]"
