Nombre_Fila,Clasificación,Reducción,Agregación,Tiempo,Pesos
Partición 1,80.0,29.545454545454547,54.77272727272727,4190.115857625,"[0.9583598432531044, 0.7112155423668692, 0.6961777987142278, 1.0, 0.0, 1.0, 0.8444588987603081, 0.8464795799399136, 0.0, 0.7341382610896816, 0.14003653052477005, 0.05436593707618326, 0.01992415976137918, 1.0, 0.7968090870120379, 1.0, 0.44595309751364454, 0.34096530529619146, 0.0, 0.0, 0.8618254373503945, 0.7831361714716363, 0.0, 0.25760487407270966, 0.0, 0.5316328224628394, 0.46929801393257486, 0.2430376903970723, 0.45587260818243025, 0.3054945604891934, 0.06298099310981708, 0.3638991145224826, 0.03151137609757115, 0.3498761689177868, 0.26042964224344356, 0.6933486020318074, 0.16423903439600834, 0.0, 0.6939014568499251, 0.03008848812679174, 0.24848683163256202, 0.5648875794065197, 0.1276607359883025, 0.08537076925959987]"
Partición 2,77.14285714285715,31.818181818181817,54.48051948051948,3910.688242,"[0.0, 0.0605544526434692, 0.5295201583360191, 0.11654772745975209, 0.06456181949608333, 0.8430667633192552, 0.6710156112486063, 0.44026386866036993, 1.0, 0.244893751928891, 0.0, 0.050262354525110686, 0.6783355199217018, 0.4495943709326374, 0.0, 1.0, 0.9636195341920647, 0.0, 0.20342844961337475, 1.0, 1.0, 0.07119535385854178, 0.38994747803966523, 0.0, 0.0, 0.6387897567247625, 0.8360166025661631, 0.8350202130611946, 0.8190621787910393, 1.0, 0.8649403458092952, 0.0, 1.0, 0.3584245120651511, 1.0, 0.49293787021737356, 1.0, 0.41286624697943125, 0.5932630809474215, 0.01309267764646605, 0.15752260906199284, 0.09427697850451269, 0.5819517944267711, 0.0]"
Partición 3,84.28571428571429,27.272727272727273,55.77922077922078,3704.031929,"[0.6782312854014103, 0.5542544785468889, 0.0, 0.9890408220506336, 0.5943118676634427, 0.5617704506240213, 0.9383714735774813, 0.0, 0.7689305407578895, 1.0, 0.43659532914746607, 0.0, 0.6184188216539016, 1.0, 0.0, 0.08247018765891409, 1.0, 0.13989637746134906, 0.9176801260854514, 1.0, 1.0, 0.7227745920017682, 0.7873811399035345, 0.4293466368919401, 0.8940464732219511, 0.0, 1.0, 0.7715750131035677, 0.6652329061653814, 0.08033974770764801, 0.0, 1.0, 0.20278300573982716, 0.0, 0.275525195030649, 0.6920861605629742, 0.472622031045429, 0.38285588384327907, 0.0, 0.3750182332791004, 0.6132016469417836, 0.0, 0.06305554714734357, 0.7126337533251075]"
Partición 4,94.28571428571428,20.454545454545453,57.370129870129865,4161.981268958,"[1.0, 1.0, 0.04348546563477604, 0.5182978305309014, 0.6853047003717672, 0.4625505782978543, 1.0, 0.626957610793438, 1.0, 0.8263175986289698, 0.0, 0.0, 0.0, 0.6974246982021682, 0.3941203566471758, 0.7208176964843875, 0.23971963413196792, 0.0, 1.0, 0.8931448247034917, 0.043346118669601, 1.0, 0.1508881152789905, 0.1250769429496888, 0.06680707923189078, 0.9797746367195271, 0.6245870768114972, 0.7081466418275594, 0.29761205728924744, 0.551264866880581, 0.11731057019438813, 0.22728317242602192, 0.3302271396586044, 0.2668937150019625, 0.3402599628323556, 0.3094976394368136, 0.0, 0.0, 1.0, 0.7349364291280607, 0.32044911284801647, 0.490296076056453, 1.0, 0.3404314908316391]"
Partición 5,79.71014492753623,20.454545454545453,50.082345191040844,3908.905919209,"[0.5737510372060641, 0.025755757148650305, 0.0, 0.050133340584155306, 0.14822277834635797, 0.0, 0.06679442497199023, 1.0, 0.0, 0.5503994080921005, 0.010627263599202318, 0.5241524796848616, 0.45478073010639797, 0.5803496659589377, 0.827518491206423, 1.0, 0.2285230846891101, 1.0, 1.0, 1.0, 0.5426016998754051, 0.9586084748473088, 0.16258933117318514, 0.36171348093681077, 0.3266103497124039, 0.0, 0.08213396574643844, 0.8738598552423441, 0.8499472490264601, 0.2813415865350976, 0.3400295895562012, 0.23640244673454158, 1.0, 0.4211201325106597, 0.5704230855304068, 0.4361097987949453, 0.7590524799462643, 1.0, 0.45758544064437245, 0.48904658517788724, 0.6173455809946139, 0.9559689622190725, 0.34041221993749077, 0.6287095520173186]"
Medias ,83.08488612836439,25.909090909090907,54.496988518727655,3975.1446433584,"[0.6420684331721158, 0.47035604614117554, 0.2538366845370046, 0.5348039441250885, 0.2984802331755302, 0.5734775584482261, 0.7041280817116772, 0.5827402118787444, 0.5537861081515778, 0.6711498039479287, 0.11745182465428769, 0.1257561542572311, 0.3542918462886761, 0.7454737470187487, 0.4036895869731273, 0.7606575768286603, 0.5755630701053575, 0.2961723365515081, 0.6242217151397652, 0.7786289649406983, 0.6895546511790801, 0.7071429184358511, 0.2981612128790751, 0.23474838697022987, 0.25749278043324914, 0.4300394431814258, 0.6024071318113348, 0.6863278827263476, 0.6175453998909117, 0.44368815232250397, 0.27705229973394035, 0.36551694673660917, 0.5129043042992005, 0.279262905699112, 0.48932757712737096, 0.5247960142087829, 0.4791827090775403, 0.35914442616454206, 0.5489499956883439, 0.32843648267166126, 0.39140115629579375, 0.4210859192373116, 0.4226160594999816, 0.35342911308673297]"
Desviación típica,6.765974592328083,5.2322111060097,2.71405782894143,201.968343910931,"[0.40198947559977244, 0.4216579552038998, 0.3334594424906011, 0.4563043995435059, 0.31762206353306555, 0.38597865675219245, 0.3772908435780326, 0.3890710174031359, 0.5142613412949355, 0.28829755534211426, 0.1879920174324553, 0.22424580803692082, 0.32488068557870464, 0.24833772636496632, 0.40626223575559495, 0.3979257900297833, 0.38103833033476225, 0.4175039134998121, 0.4835432244546914, 0.43771918871335613, 0.40669721242039597, 0.37398155866995564, 0.3068917010614121, 0.17438869213618496, 0.38044182958079686, 0.42602069683180116, 0.3541001370413118, 0.2556985412149144, 0.23737584396989017, 0.35303383717583536, 0.3527323401020835, 0.37813791501319177, 0.4571131564405881, 0.16546678899519235, 0.31132365866639294, 0.16705503902270014, 0.4118332091293029, 0.40991266492480083, 0.3660991196698704, 0.30889355456309037, 0.2123700851243171, 0.3859035721739968, 0.38137906580001724, 0.31691625292950115]"
