Nombre_Fila,Clasificación,Reducción,Agregación,Tiempo,Pesos
Partición 1,80.0,52.27272727272727,66.13636363636364,554.077257333,"[0.0, 0.6641630711715221, 0.4179697864484773, 0.026621471630023485, 0.0, 0.5489194193382497, 0.013216325113047217, 0.4279376060426363, 0.06313676795816567, 0.8554730031926132, 0.01819046534664847, 0.5494538768335513, 0.0404917511284841, 0.00040195282117847625, 0.03958336101751124, 0.05885235182621643, 0.9755039909629691, 0.0021152092225309744, 0.721275306193709, 0.694067120940997, 0.008631881465352575, 0.05386079841701583, 0.8108912360919981, 0.5356714703599474, 0.04896550609723755, 0.5300159302435701, 0.0061467403571182164, 0.27402415745126946, 0.06918535373910015, 0.019572317295615958, 0.0, 0.3823437670483162, 0.4554251321434836, 0.18687402622498067, 0.018745856738071612, 0.02849427584090811, 0.6801559761802201, 0.9153217739568993, 0.6973767756635194, 0.026398777252043582, 6.989971622969928e-5, 0.8215669565370738, 0.6351717805836276, 0.05901545178451234]"
Partición 2,77.14285714285715,43.18181818181818,60.16233766233766,902.333727,"[0.6025891108187522, 0.40841498868487175, 0.06527556905644237, 0.9053847132892487, 0.08101555558696413, 0.006493956216169604, 0.5882796557823291, 0.15129493883067724, 0.06463677214896847, 0.048826901371457315, 0.6404386406366673, 0.5106085364538673, 8.150708649129934e-10, 1.0909460258894052e-5, 0.7429007748742742, 0.04387788772606431, 0.9994200361989584, 0.03717204010089108, 0.004650898169761038, 0.7203606917999694, 0.012544435496126728, 0.5399736311992132, 0.09550726189846631, 0.3494091866417223, 0.8155134288080756, 0.7712924423770052, 0.07995860861617336, 0.17143243849595108, 0.09664004284653814, 0.2899270951556698, 0.014079128084951213, 0.0806562132726089, 0.44710021193642796, 0.8329307174887581, 0.37455936681600754, 0.49645107640976593, 0.8899633624368175, 0.0, 0.680903134751508, 0.4688392884062958, 0.01727326254271371, 0.9238816623139875, 0.8650140815372365, 0.05679055780391112]"
Partición 3,74.28571428571429,40.90909090909091,57.5974025974026,480.201142125,"[0.27562910633413823, 0.6811500765473795, 0.7993464301631965, 0.13902893446629636, 0.8960888704232518, 0.9054734257654191, 0.02049458613643473, 0.4805127366540291, 0.031298030938885564, 0.5960329331610272, 0.00022521042369485963, 0.06478541388763173, 0.8012326880846377, 0.07722147172451671, 0.08070329735613777, 0.0, 1.0, 0.5314822570196597, 0.6674322826203408, 0.7439797503686741, 0.004330872287832364, 0.6808096493204321, 0.0, 0.6445835347421114, 0.012225055926375041, 0.3510934833578232, 0.04579704390510495, 0.08167996712342802, 0.8569854132010896, 0.07009815116804341, 0.5068687422104695, 0.0, 0.9645289063537864, 0.9975880447597469, 0.3954444101069555, 0.6430878294096412, 0.0, 0.36866441598879607, 0.36258185179774716, 0.6556245658811914, 0.0, 0.14927802833463272, 0.02058384498687839, 0.0]"
Partición 4,90.0,52.27272727272727,71.13636363636364,548.865868708,"[0.19092258035862888, 0.9999828803316198, 1.0, 0.8891464247147329, 0.9963225700419321, 0.06826496070883606, 0.4328175126906332, 0.9599040340898289, 0.01424483476545352, 0.07658578614697771, 0.0, 0.06865288992045726, 0.3792548539168694, 0.01514790643773424, 0.0059927115989522415, 0.0018949145020034498, 1.0, 0.9999998588217286, 0.0, 0.015896659091490233, 0.9524175666822172, 0.08603731561934973, 0.00012572291929729848, 5.643347225009686e-10, 0.9725182961517653, 0.9979124074051497, 0.6798279433299369, 0.2339402829800927, 0.0394528100022774, 0.05193093529540211, 0.999999982027428, 0.0, 0.572386306888457, 0.851769774655171, 0.064255210526942, 0.011586807128310759, 0.011235794367804943, 0.9780742643117751, 0.09930532224382349, 0.009823564626996264, 0.8751040494624944, 0.04463864879674538, 0.8118767989645684, 0.0055566600385577826]"
Partición 5,82.6086956521739,40.90909090909091,61.75889328063241,906.538394709,"[1.0, 0.7598309712290557, 0.726225507992667, 0.6423095541542673, 0.0804688746136092, 0.21547578457512734, 0.02599486599356777, 0.016217307671598218, 0.3329777396012452, 0.28989231491842343, 0.006542943753784626, 0.8675158695022708, 0.0414765799204421, 0.5972138977023481, 0.22541001908290179, 0.07838451092795015, 0.00011212939178814828, 0.7497186912426834, 0.5175308064339945, 0.01211912782315121, 0.981928649150695, 0.8362535053317476, 0.4593684034757357, 0.8076255553188276, 0.03064931307964014, 0.0859075476494693, 0.5712506890175348, 0.6383159835010829, 0.4798960439830324, 0.0009333138961116042, 0.40630473072098094, 0.0018927956197159724, 0.7099997854156943, 0.029441517320484535, 0.036586283551156826, 0.006671268490087554, 0.0391957703000581, 0.923947213739681, 0.359855850769298, 0.017628815613969707, 0.29848559495466365, 0.09237355531712144, 0.5789797508019602, 0.7543120169185469]"
Medias ,80.80745341614906,45.909090909090914,63.35827216261998,678.4032779749999,"[0.4138281595023039, 0.7027083975928898, 0.6017634587321566, 0.5204982196509137, 0.4107791741331515, 0.3489255093207604, 0.2161605891432024, 0.40717332465775397, 0.10125882908254369, 0.37336218775809976, 0.13307945203215904, 0.4122033173195557, 0.2524911747731008, 0.1379992276292073, 0.21891803278595545, 0.03660193299644687, 0.7950072313107431, 0.4640976112814988, 0.3821778586835611, 0.4372846700048565, 0.39197068101644483, 0.43938697997755166, 0.2731785248770995, 0.4674579495253887, 0.37597432001261877, 0.5472443622066037, 0.2765962050451737, 0.27987856591036486, 0.3084319327544075, 0.08649236256216858, 0.38545051660876595, 0.09297855518812821, 0.6298880685475698, 0.5797208160898283, 0.1779182255478267, 0.2372582514557427, 0.3241101806569801, 0.6372015335994303, 0.4400045870451792, 0.23566300235609935, 0.23818656133522031, 0.4063477702599121, 0.5823252513748542, 0.17513493730910562]"
Desviación típica,6.007530991181593,5.88280868433854,5.342661497233882,208.39353633903636,"[0.393467833641254, 0.2122464489858026, 0.36562328455899845, 0.41482230264006675, 0.49116571485407434, 0.3753603896545386, 0.2743389252247215, 0.36388233587034163, 0.13129553360101698, 0.3472678013984325, 0.28371847997481214, 0.34444045900781284, 0.34293183964699364, 0.25866884327619327, 0.30463153558163175, 0.03477816522539601, 0.4444845240646015, 0.4384645065048545, 0.3547055494811413, 0.3868025101856482, 0.5251972601222394, 0.35333837910494653, 0.3551594879396119, 0.3099165217681582, 0.47632892929768006, 0.35528258886339303, 0.32190627896468554, 0.21311102117111333, 0.3552306859729924, 0.11688412650404967, 0.41210955405357275, 0.1654317872954535, 0.2153819553748283, 0.4387125533251863, 0.18987839609392207, 0.3080417674043693, 0.4275138722516801, 0.4341388457840923, 0.25137951520420865, 0.30539841573962984, 0.377999645589269, 0.4288783191330133, 0.3357693566176219, 0.3249477861950278]"
