Nombre_Fila,Clasificación,Reducción,Agregación,Tiempo,Pesos
Partición 1,88.73239436619718,61.76470588235294,75.24855012427506,286.643617958,"[0.00277508542070554, 0.004584617407308261, 0.021600981142465968, 0.09943855011802638, 0.07777393843468024, 0.005435221650170629, 0.22353713609368564, 0.9346385900487466, 5.364671157559908e-5, 0.012243979303248016, 0.3486511904903421, 0.935139971710595, 0.00039210761146121146, 0.007904184343607883, 0.07268907905936996, 0.9924756120772611, 0.027816852756203495, 0.02643155336233849, 0.009607746013316484, 0.006001404362372373, 0.009140199358784096, 0.9345438112613987, 0.4044796744196085, 0.003023238857606361, 0.4909013884942476, 0.019133331037289873, 0.022635634945501117, 0.3247600912789481, 0.02439715103710362, 0.13790563646811813, 0.33385844019726374, 0.1691178617719624, 0.001049116252431472, 0.9650285858405193]"
Partición 2,87.14285714285714,58.8235294117647,72.98319327731092,258.156405166,"[0.00019459611513502654, 0.6959698899649847, 0.5235221576137751, 0.3254540100413271, 0.6271161522719733, 8.36764703180437e-8, 0.032356650130711366, 0.002268794106835665, 0.37509528340478143, 0.023053554315050045, 0.04305219339412555, 0.3047433674065965, 0.0003649762728580218, 0.9879420985969583, 0.7297562570101938, 0.005516777194160554, 0.5104115448617029, 0.012944650706567296, 0.00015390313473092463, 0.384813696278379, 0.0002104233027406556, 0.4095978269907209, 0.9613658195827627, 0.6336724299677681, 1.3750560974135893e-5, 0.016452615229092173, 0.01723185985026016, 0.02981919135282994, 0.697887968555542, 0.03127038926250445, 0.09180523128845806, 0.000981774355007249, 0.006290077475620019, 2.3528335775697346e-6]"
Partición 3,77.14285714285715,47.05882352941177,62.10084033613446,236.834138375,"[0.048698048661889044, 0.5010319981436794, 0.11803542522426384, 0.7197540683560979, 0.005487245084605656, 0.035969572798043414, 0.0008266027613740518, 0.5394277994291365, 0.006086729225770484, 0.28736636976756236, 0.9944851081159615, 0.040140666446212975, 0.08685641908449118, 0.0010230403980052735, 0.854466290742987, 0.43279282228911764, 0.5815867759378917, 0.06647604370284685, 0.7001864402033051, 0.008512206606636836, 0.9494601283025663, 0.02016767628177178, 0.012991520679891046, 0.7795484812900818, 0.3256579596256936, 0.09793639188704384, 0.10876408428782647, 0.0267723857223918, 0.895359915326423, 0.032329824583116624, 0.23813826221837486, 0.3243844677815436, 0.08002756052787435, 0.33691619014640506]"
Partición 4,85.71428571428571,52.94117647058823,69.32773109243698,282.401855833,"[0.023785393990547153, 0.3778928428827835, 0.05972884855137196, 0.9627885424034074, 0.4038285836228296, 0.09594374527254607, 0.059200826879237285, 0.9501442587054493, 0.9659980015493467, 0.0294114105998269, 0.019967552105319912, 0.02813132135714595, 0.0935807452293736, 0.07070523323641396, 0.019608952881603896, 0.7468250439200457, 0.5151829503078719, 0.09138336062925811, 0.46322164243137587, 0.5168431897361029, 0.3916869198493773, 0.6963946451689456, 0.04726669184170197, 0.014561710722315399, 0.2664283292375331, 0.03055148580653716, 0.015379848118653281, 0.6683624847140148, 0.09511317496876409, 0.35253560179734283, 0.9400586077244393, 0.025971548600083695, 0.8471650066079958, 0.0341061631877375]"
Partición 5,88.57142857142857,58.8235294117647,73.69747899159664,257.997043834,"[0.31660478798903263, 0.06346901887571893, 0.01951429503478458, 0.06558429054175156, 0.00577684040804375, 0.6504406469821318, 0.6388027620762313, 0.9911628391710919, 0.7845241192260439, 0.009251685796940034, 0.0034485288927829125, 0.07751251833566923, 0.9037432491868376, 0.35896584766909634, 0.9316507135775091, 0.014100152713541212, 0.02671135648684946, 0.014294707591927473, 0.027325941196325094, 0.06364931970939992, 0.08852742764711803, 0.11894258200617853, 0.4020655334149119, 0.026562322840590104, 0.2766313318317904, 0.0038923895654443636, 0.07865574132055758, 0.8188270345506644, 0.5930577768812446, 0.08788907473272899, 0.09985934474208899, 0.010325812795037206, 0.8972856964867719, 0.07580428928560716]"
Medias ,85.46076458752515,55.88235294117648,70.6715587643508,264.4066122332,"[0.07841158243546188, 0.328589673454895, 0.14848034151333228, 0.43460389229212204, 0.22399655196442653, 0.15755785407587244, 0.19094479558824792, 0.683528456292252, 0.4263515560235036, 0.07226539995652546, 0.2819209145997064, 0.2771335690512439, 0.21698749947700433, 0.2853080808488163, 0.5216342586543328, 0.4383420816388252, 0.3323418960701039, 0.04230606319858764, 0.2400991345958107, 0.1959639633385782, 0.28780501969211725, 0.4359293083418031, 0.3656338479877752, 0.2914736367356724, 0.2719265519500478, 0.03359324270508148, 0.048533433704559724, 0.3737082375237698, 0.4611631973538154, 0.12838610536876222, 0.340743977234125, 0.10615629306072683, 0.3663634914701387, 0.28237151625876933]"
Desviación típica,4.807834346510081,5.882352941176469,5.260983378598379,20.363583831983952,"[0.1345749738574335, 0.2925763230217024, 0.21341901127076912, 0.39392721960678867, 0.27910221432963644, 0.2781542748189191, 0.2647124001728064, 0.42239168005840605, 0.4417254545556461, 0.1205197042793176, 0.42291410454598277, 0.3846267821007086, 0.3865344959296298, 0.4192091714566818, 0.440393745133098, 0.43862725071498765, 0.2799143573520006, 0.03496962156524316, 0.3230465943269671, 0.23841077964214613, 0.4026956743577023, 0.3842168269631653, 0.3819185466288407, 0.3825502970232718, 0.17665360184295092, 0.03719651853539311, 0.04267531320716716, 0.3626196186144066, 0.38298785405370234, 0.1328833126328093, 0.34991044393449655, 0.1398771326501495, 0.46318036613546343, 0.4040525477421716]"
