Nombre_Fila,Clasificación,Reducción,Agregación,Tiempo,Pesos
Partición 1,85.91549295774648,50.0,67.95774647887325,278.225790041,"[0.04456105214883453, 0.5544616211398303, 0.0004065774655265083, 1.6894767916377972e-5, 0.024744166811727256, 0.6340206651722806, 0.004160954547462148, 0.008075511214166473, 0.03594958323378938, 0.04748979771481135, 0.02349969699573744, 0.0, 0.045614370387031485, 0.6446317059734769, 0.9819687162340652, 0.7231083550085716, 0.03230422503037507, 0.0, 0.8825573047162049, 0.9464303762762906, 0.05690827248773031, 0.7278789426793177, 0.06996844007197044, 3.4986590104019326e-5, 0.5750811672308959, 0.37298086609177417, 0.9461411225808449, 0.7409705497821397, 0.5024253815226736, 0.02281557791169798, 0.1234327164902613, 0.863910234117264, 0.2293522375137454, 0.6298000567023209]"
Partición 2,92.85714285714286,55.88235294117647,74.36974789915966,249.01213725,"[0.07817950409065845, 0.12605606907639968, 0.002282936638137935, 0.888099633864013, 0.8057278557081979, 0.7393676588131344, 0.9985515606648793, 0.08218680789686042, 0.33590085593709257, 0.7562363747463481, 2.587997254250195e-5, 0.0901161552995526, 0.0005328670965722097, 1.08162253858972e-5, 0.018714021147627366, 0.1984263029555387, 0.4744936072417272, 5.112153150695343e-7, 0.00012354474080215633, 0.0012144139821805837, 1.570126754333724e-8, 0.003384431983051885, 0.6303758695477346, 0.991771947160953, 2.17456613488489e-6, 0.586618246110877, 0.2979834463440405, 0.0523757425447981, 2.750011541780246e-6, 0.09039364728269125, 9.839389465547024e-8, 0.6808657807326437, 0.8647753546909944, 0.0014886782448673788]"
Partición 3,85.71428571428571,50.0,67.85714285714286,195.513377625,"[0.6343195244890332, 0.8892598817526736, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.8416437556752363, 0.5318098071617713, 1.0, 0.0, 0.18636290530195176, 0.0, 0.06535621321039035, 0.6230145952647042, 0.0, 0.3951962284212288, 0.44252234997867534, 0.0, 0.09715991529288326, 0.03481168517879945, 0.014646312196891692, 0.31644756907484417, 0.9947067181990541, 0.0, 0.8660610043464378, 0.0, 0.29429486757951473, 0.09528209863798119]"
Partición 4,88.57142857142857,64.70588235294117,76.63865546218487,269.653545417,"[0.00232474373522217, 0.0005196009371827679, 0.17917857814341587, 0.9999999930708551, 0.0657710123303348, 0.7892768714944214, 1.7827649530753924e-5, 0.9532918630651593, 0.0033867036782957113, 2.5157031473286276e-6, 0.0017383265588852342, 0.0034471851074991565, 4.347574277123674e-12, 1.7652829887639958e-5, 0.002991611010979619, 0.9185528897168239, 0.5470517285284654, 0.7448565840027899, 0.591160444495549, 0.008064812842742818, 0.403737337242252, 0.013210104462175033, 1.1588868917744756e-9, 0.003270495856316801, 0.005432184675154762, 0.009812036923578349, 0.24330860557551504, 0.7678022108453015, 0.004400087805214729, 0.00669531306661582, 0.04517113644408553, 0.9993877840140872, 0.014762486761627955, 4.3695702138441813e-7]"
Partición 5,87.14285714285714,58.8235294117647,72.98319327731092,248.668221583,"[2.0624348465556834e-9, 0.010956996813715494, 0.5948217053309661, 2.965603229516065e-6, 0.9955672860400268, 0.7360446424194262, 0.3597780807492379, 0.008036429323017074, 0.0002954615166475317, 0.5197125080477081, 0.5201052096669575, 0.5824251381620194, 0.18127274029118637, 0.01808446345322553, 0.001147020298080496, 2.009205807514287e-6, 0.32332835616292704, 0.1635300420511653, 0.0033489479793900245, 0.0032876778586686905, 0.9962340056488733, 0.0986785721122804, 0.006199470292155485, 0.0029991645886288344, 0.33921849428680345, 0.0005952593119164769, 0.00041481080878892005, 0.08628715575859687, 0.0013706661033319285, 0.002274739796210715, 0.00021448597106405676, 0.710654550424818, 0.9981537636981477, 0.00010821224568534827]"
Medias ,88.04024144869216,55.882352941176464,71.9612971949343,248.21461438320003,"[0.15187696530523664, 0.31625083394396036, 0.1553379595156093, 0.3776238974612028, 0.5783620641780574, 0.5797419675798525, 0.47250168472222204, 0.41031812229984077, 0.275106520873165, 0.264688239242403, 0.10907382263882455, 0.1351976957138142, 0.2138127466908748, 0.23891088912874947, 0.40096427373815063, 0.3680179113773484, 0.31270816445308924, 0.18167742745385404, 0.3085092910284673, 0.3164023752449173, 0.2913759262160246, 0.2476696559316108, 0.2298132262098846, 0.19961531883920053, 0.20337878721037445, 0.2009636187233891, 0.3004988595012162, 0.3927766456011361, 0.30058112072836324, 0.024435855611443156, 0.20697588832914865, 0.6509636698577626, 0.48026774204880607, 0.14533589655757523]"
Desviación típica,2.9246633891205556,6.239177481057771,3.924126906796047,32.16582264723688,"[0.2716299517994379, 0.3918380836123001, 0.25752368472186143, 0.5185850717183217, 0.4931471159679133, 0.3289615058817237, 0.502561834560622, 0.5181324729781508, 0.4288692474048999, 0.3514080628122535, 0.22998869179014586, 0.2529623299340043, 0.3587218697457195, 0.32144466509232644, 0.5386931630274522, 0.42685248814029453, 0.2096388070870733, 0.3226917907053766, 0.40520699010220174, 0.442550181499626, 0.42843463068505855, 0.31193346391569676, 0.2889909983337466, 0.44283177109216293, 0.24922000226147373, 0.2658064600023854, 0.38467294530614976, 0.34551334258042143, 0.4444516025516066, 0.037934181569516986, 0.37186781407289626, 0.3856670972120501, 0.42728552478232085, 0.2739144042740046]"
