Nombre_Fila,Clasificación,Reducción,Agregación,Tiempo,Pesos
Partición 1,85.71428571428571,52.27272727272727,68.99350649350649,452.53899475,"[0.8935161516620383, 0.03379454005683531, 0.1556690928427065, 1.0, 0.3823310393459814, 0.0, 0.0, 0.5104650694387605, 0.39677200302763715, 1.0, 0.07336416634817791, 0.6913058562853932, 0.9181595280726724, 0.0, 0.0014426953499395948, 0.0548454965328748, 0.32880440016814494, 0.008265468247086846, 0.3172086694571219, 0.883867651170372, 0.04081954802812775, 0.22262235238537648, 1.0, 0.7783950803905516, 0.001706885745400885, 0.02440288025937797, 0.002952834773285049, 0.09615930385737088, 0.028528543577245043, 0.0007188698740237115, 0.019390712203164066, 0.02262222749618875, 0.09256554875643715, 0.5933866688786661, 0.0, 0.6540633950746614, 0.8124618775953634, 0.5068442798744863, 0.0, 1.3781985472146025e-6, 0.21145306821727478, 0.0029712702275873815, 0.824093183387605, 0.06010138321102097]"
Partición 2,78.57142857142857,50.0,64.28571428571428,364.240578,"[0.05668196310860607, 0.0, 0.020351260565209372, 0.9098389670613463, 0.0, 0.12964390068878465, 0.23752293440436867, 0.0, 0.0, 0.012354686406323444, 0.2950177075037861, 0.056681699257223814, 0.8266843590288413, 0.0001839506711750206, 0.049935567350242696, 0.054695408526685335, 0.28323698323769025, 0.040705390799126585, 0.9999210570640473, 2.57800777053584e-8, 0.3927710902619777, 0.1600091737278387, 0.0, 0.5919645385735052, 0.006037386684782468, 0.8971944779591662, 0.7259418323149239, 0.9973812440118278, 0.6829996571839998, 0.979257769537878, 0.001628717345863382, 0.8828053289064439, 0.9770815900984944, 0.7984130827471138, 0.8582976166808411, 0.47601579091096885, 0.005307771626521073, 0.0015679849689919994, 1.0, 0.001259672374569746, 0.6937999318758746, 0.042584435736546064, 0.0004380454081950296, 0.003620726390089061]"
Partición 3,84.28571428571429,54.54545454545455,69.41558441558442,303.491675083,"[0.0010502574959804366, 0.7388221632897749, 0.01820628621501308, 0.08203929934000835, 0.0, 0.041926488577638976, 0.9556069146159607, 0.5939885043544357, 0.8832300340845578, 0.0013472096099360373, 0.9797339328900272, 0.8671949975549478, 0.4712223204738744, 0.5168719342562021, 0.07525466688622447, 0.0681806667695326, 0.9021003876408082, 0.0076177099345049746, 0.7491573582368987, 0.8439026695852051, 0.3345248021321342, 0.0010473694914784623, 0.09706468826607027, 0.9914126787840052, 0.0009623200481970645, 0.7637130784973717, 0.007591494343958923, 0.3228545867645596, 0.1876441044779118, 0.0, 0.008379457184630686, 0.04387944779465509, 0.9181360880496209, 0.0026926741824355727, 0.051713097853221084, 0.032338374461185496, 0.5193196061097648, 0.03446327461755535, 0.7004728312458823, 7.79147350666736e-6, 0.03356182903741122, 0.01109463628414569, 0.0037701462591020196, 0.3512837381579112]"
Partición 4,94.28571428571428,50.0,72.14285714285714,444.916081166,"[0.06895143821968422, 0.9614159031459233, 0.5901952914015216, 0.6707906207857149, 0.9073192335049055, 0.030879493147351285, 0.5298740576410688, 0.9853595671433768, 0.013018431824542374, 0.0016142119340355526, 0.0, 0.07828366510390881, 0.00033356384633634426, 0.0028107298524572316, 0.011096066573067883, 0.018555226739283344, 1.0, 0.7044805542761832, 0.014016979501276743, 9.66007985792631e-7, 0.5972925885440384, 0.0, 0.7954984424902755, 0.04170950790518699, 0.9999277612592568, 0.8577686303200769, 0.7548849639146011, 0.32937093340770296, 0.9763704650910457, 0.030202346679399732, 0.9111674939256561, 0.0, 0.3315982118855335, 0.9097967423961191, 0.00023895065992624907, 0.013946104077161786, 0.2541175937105753, 0.9774087237407902, 0.008780719713527325, 0.0008933955528091363, 0.6277754389884159, 0.0, 0.8766726127821738, 0.02018209712915415]"
Partición 5,85.5072463768116,47.72727272727273,66.61725955204216,366.21051875,"[0.001109724420029273, 0.5673441360194136, 0.9410915344672369, 0.9238152970760539, 0.4737968574886066, 0.000596550270702793, 0.0012083991021951846, 3.783196759575366e-5, 0.8722107354354716, 0.09724496663920937, 2.2274061567586247e-6, 0.0, 0.7255426040499218, 0.20994038651319985, 0.9909829633689371, 0.7519075389614462, 0.002199845547890874, 0.3000137695483183, 0.25693002804785486, 0.08627490096377229, 0.02960828810917908, 0.9891409433318338, 0.07031190382169128, 0.7807735865272208, 0.9047415310795328, 0.09319914511085318, 0.587172452634002, 0.0020114182923749897, 0.01329737851285022, 0.30654465062900244, 0.0, 0.004749511674891954, 0.57462529033342, 0.024084026473161903, 0.9999896795701306, 0.0, 0.9552062829668814, 0.0, 0.02262248843566053, 0.0, 0.9958629308365187, 0.594954940070545, 0.7388163814546692, 0.974993773621789]"
Medias ,85.67287784679088,50.90909090909091,68.29098437794089,386.2795695498,"[0.20426190698126767, 0.4602753485023895, 0.3451026930983375, 0.7172968368526247, 0.3526894260678987, 0.040609286536895536, 0.34484246115271866, 0.41797019458083373, 0.43304624087444177, 0.22251221491790094, 0.2696236068296296, 0.3386932436402947, 0.5883884750943291, 0.14596140025860685, 0.22574239190568238, 0.18963686750596448, 0.5032683233189068, 0.21221657856104398, 0.46744681846143993, 0.36280924270148257, 0.27900326341509146, 0.27456396778730546, 0.3925750069156074, 0.6368510784360939, 0.382675176963434, 0.5272556424293692, 0.4157087155961542, 0.3495554972667672, 0.3777680297686105, 0.2633447273440608, 0.18811327613186285, 0.19081130317443593, 0.5788013458247012, 0.4656746389354994, 0.38204786895282383, 0.23527273290479553, 0.5092826264018212, 0.3040568526403648, 0.346375207879014, 0.00043244751988655284, 0.5124906397910991, 0.13032105646376482, 0.488758073858349, 0.2820363437019929]"
Desviación típica,5.625053432517491,2.5913077843162236,2.9765218657497234,62.39164876239603,"[0.38656369474069957, 0.4283495025117812, 0.40727230554341837, 0.3759515899259355, 0.3781334159396878, 0.053088839774331834, 0.40490371749033666, 0.42155515375359803, 0.4361189999284036, 0.43647886934203645, 0.41497345731588087, 0.4079542043948296, 0.3687416498049726, 0.22622767543116065, 0.42881555650681585, 0.3148597924171996, 0.428873654082567, 0.3012079881498789, 0.3985527199498603, 0.4589892063294061, 0.24303456038256496, 0.4112899488746849, 0.46813657442506246, 0.3614798098444179, 0.5211169734411636, 0.4310660156970877, 0.38000395086363203, 0.3891641912644821, 0.4308263580778651, 0.42043901860103533, 0.4042715815031079, 0.38722093519939793, 0.3779309789760121, 0.4282593390885172, 0.5023757529919236, 0.30775961723902895, 0.3905016501099572, 0.4333463582899055, 0.47206253350832145, 0.0006020669448333409, 0.38723663351423543, 0.2602877472592735, 0.4469693005375171, 0.4124085445342729]"
