Nombre_Fila,Clasificación,Reducción,Agregación,Tiempo,Pesos
Partición 1,80.0,56.81818181818182,68.4090909090909,287.269008625,"[0.9969931772701276, 0.2705196831201534, 0.06965210797433194, 0.9995404514564097, 0.841552586631361, 9.574869886051104e-6, 0.4991159305008248, 0.0, 0.8880521907930665, 0.9183735805036517, 0.2996718229102261, 0.07357644183564727, 0.03563459574774273, 0.029614456435724103, 0.008460102756752911, 0.0, 0.030612279959226593, 0.2407397774164639, 0.06260373666132696, 0.02410336175195081, 0.05847985266255236, 0.9994628085577929, 0.39782120231965895, 0.6098562468200139, 0.008325792619790934, 0.6437844478504211, 0.1786937190626889, 0.975735964023783, 0.0, 0.008859569217715451, 0.00039635550419452265, 0.01973846477507465, 0.8691397954389359, 0.8410448206419958, 0.49827085280238226, 0.0027460950969273607, 0.0002746657258814565, 0.03441686763363598, 0.022714660772542236, 0.0, 0.0, 0.8568017765814729, 0.00028506244571228554, 0.06502081998522513]"
Partición 2,85.71428571428571,45.45454545454545,65.58441558441558,268.3606735,"[0.9997654926476105, 0.5765544391465512, 0.5822606605796744, 0.0010840733593245728, 1.6240535528273027e-6, 0.2682794538388331, 0.4407473042644069, 0.4887766712355234, 0.274479776069275, 0.3350992220613383, 0.30321800986868774, 0.7677758067352229, 0.9928987510103721, 0.2469164070360806, 0.0008277620483791278, 0.07910068414050138, 0.031649884810181994, 0.052643859948346854, 0.9138998359032842, 0.0004695676267256485, 0.0653358455283781, 0.9571879734243095, 0.9998542859082058, 0.444548446817006, 0.4070408080283456, 0.001563685995092006, 6.765448836420158e-5, 0.7861785362070466, 8.201795706739686e-5, 0.03295244830849414, 0.6552382356539859, 0.002526214399171485, 0.03123568876152184, 0.00017189494332688727, 0.9465956381092584, 0.5539806009910012, 5.888562294680369e-5, 0.7885210189017333, 0.00035698993161460614, 0.11363184767836634, 0.1497905545584586, 4.691720517054564e-6, 0.0006017472551571616, 0.0006840469797330223]"
Partición 3,78.57142857142857,54.54545454545455,66.55844155844156,225.659622792,"[0.8303649369418358, 0.896718484518376, 0.6667794761229893, 0.9999796559441901, 0.6068745080048901, 0.06966044166256109, 0.6809130340375532, 0.06618225941953833, 0.562176873823671, 0.5120943809453193, 0.6575721114639089, 0.0, 0.0, 0.6490252612390026, 9.47926862115496e-5, 0.40829796362053294, 0.7238852630999157, 0.0008410355740400767, 0.07967242913857352, 0.5942491236026546, 0.911752443896384, 0.9005054475131176, 0.28009716754146463, 0.47598170729710293, 0.4737677235102994, 0.0026978652955535745, 0.005069509659335081, 0.002679330060927883, 0.04933920535851218, 0.0, 0.0017995227846754613, 5.860425498681036e-5, 0.008412923973857001, 0.4297080281862982, 0.0004085557145038398, 0.462918330838679, 0.0, 0.008626223315073612, 3.0555895256092615e-6, 0.01129364335101786, 0.09700282361373508, 0.0948260184513053, 0.002775446380276902, 0.0]"
Partición 4,85.71428571428571,54.54545454545455,70.12987012987013,285.109269417,"[0.6306657297308937, 0.9976616732204515, 0.043814204931629006, 0.14826807810870335, 0.08585649463837602, 0.07100085415483759, 0.1874388612771698, 0.04119256347662744, 0.40817555024226826, 0.7504471407062051, 0.04030515441342321, 0.0004001259140011641, 0.34163134044699384, 0.17229255308856328, 6.429114543695273e-8, 0.03856921499348326, 0.4539666486161036, 0.03829913323284896, 0.4523930335282871, 0.2713078161082087, 0.8813067854377478, 0.042802693582576976, 2.004664489484294e-9, 7.632376388728274e-8, 0.019336369697766302, 2.4261061515158623e-10, 5.8314838724079207e-5, 2.119868862356377e-8, 1.1485196371717946e-10, 2.539800021340877e-7, 0.004804004572323736, 0.41998112654578323, 0.9376359269737177, 0.5709870913376476, 0.8728061122718596, 0.0766307520419913, 0.0010676574693487919, 0.042319630494875485, 0.008477500988774157, 1.1466562970907027e-5, 0.9355249325831865, 0.21570520701007964, 0.17516420469136526, 0.5639822876940492]"
Partición 5,86.95652173913044,52.27272727272727,69.61462450592886,269.260151875,"[4.2694735502768335e-7, 0.006764404515336386, 7.49420783811217e-5, 0.06674006365177712, 0.3724899037364981, 0.8034314465342851, 0.41548152700928914, 0.09445158597256399, 0.002002261642876685, 0.012547893218000285, 0.09908078000450776, 0.9766935314499774, 1.0007066378596455e-6, 1.400393417864158e-5, 0.4794591977129837, 0.9955742751270693, 0.8448353097710544, 9.119153797156954e-5, 0.9734850567460663, 2.1773456689239634e-5, 0.9861384302220558, 0.9999103208139282, 0.4465688613705816, 0.7917583937484923, 3.2631927794878085e-6, 0.8479261666219596, 0.012326747343714993, 0.03085156558014803, 0.9616125600353737, 0.667356754797932, 0.034267616397843564, 0.007964036880408544, 0.0016585960982912515, 0.7028646795213429, 0.3185604309609182, 0.9999998688796328, 0.6114569224552676, 0.5409454813439517, 0.00020470125830281108, 0.01866488492147598, 0.04769787913989108, 0.022535278020123208, 0.03217006340126108, 0.9803126328693167]"
Medias ,83.3913043478261,52.72727272727273,68.0592885375494,267.1317452418,"[0.6915579527075646, 0.5496437369041737, 0.27251627833740116, 0.44312246450408094, 0.3813550234129356, 0.2424763542120806, 0.44473933141784877, 0.13812061602085063, 0.4269773305142315, 0.5057124434869029, 0.27996957573215075, 0.36368918118696975, 0.2740331375823493, 0.21957253634670987, 0.09776838389909454, 0.3043084275763174, 0.41698987725129644, 0.06652299954193427, 0.49641081839550766, 0.1780303285092458, 0.5806026715494236, 0.7799738487783451, 0.4248683038289151, 0.4644289742012758, 0.18169479140979633, 0.2991944332011274, 0.03924318907856546, 0.3590890834141188, 0.20220675669316104, 0.14183380526082873, 0.13930114698260462, 0.09005368937108495, 0.36961658624926474, 0.5089553029261223, 0.5273283179717845, 0.4192551295696463, 0.12257162625468894, 0.28296584433785404, 0.006351381708151885, 0.02872036850276622, 0.2460032379790542, 0.23797459435669963, 0.042199304834754536, 0.3219999575056648]"
Desviación típica,3.8156063602193004,4.371678195834398,1.949761369564159,24.772353905036596,"[0.4151835790365255, 0.416693335836893, 0.3236772478714565, 0.5108061442358617, 0.3519478729799916, 0.32916399460882045, 0.17734875223070296, 0.19906916658197366, 0.32980363987815864, 0.3544520983573945, 0.2416982284226335, 0.47102932342791815, 0.4267197336901995, 0.26062556871745907, 0.21340109262530463, 0.41910672014962924, 0.3795979225007257, 0.10008497432635644, 0.43751969763234116, 0.25925236529970347, 0.475040663363982, 0.41409584624721296, 0.3651311734439897, 0.2934776578877952, 0.23744278423429602, 0.4140834392470338, 0.07811683940288912, 0.48124097681266653, 0.42505741296567917, 0.2940855540556632, 0.288753286164444, 0.18459091924896018, 0.48798878263181195, 0.32282848529603053, 0.3928144583884439, 0.4025522077645955, 0.2732955218285331, 0.35954448589802823, 0.009827168243779034, 0.04812437899048678, 0.3894678355468816, 0.35601204173490913, 0.07553418332894686, 0.43729200506622484]"
