Nombre_Fila,Clasificación,Reducción,Agregación,Tiempo,Pesos
Partición 1,82.85714285714286,0.0,41.42857142857143,424628.526708,"[0.5642258473792039, 0.5540154893549433, 0.9041850825763957, 0.5448140275088897, 0.4486830203812186, 0.6852499492234323, 0.8503249693941145, 0.4874013476080877, 0.34322986937872996, 0.7519916337822911, 0.17738277824949011, 0.5588572662349491, 0.6432070082645174, 0.30487232818367427, 0.40167976157647123, 0.6799639771263628, 0.6992799242598879, 0.7990185659638425, 0.6552630033759387, 0.5150908290095009, 0.29169615752900013, 0.22123936020010046, 0.6552025956753035, 0.4610843727715152, 0.35548293256389696, 0.4902230538337138, 0.2744477872244992, 0.34260985212706635, 0.685582840784368, 0.2686499985863116, 0.25819349372246053, 0.3865811649680083, 0.44337733634379517, 0.38032668340662135, 0.7011303615190567, 0.714631826083878, 0.2884714610066496, 0.34906792328030944, 0.7915158977831768, 0.43290031194660283, 0.6789886187948795, 0.7619268519748662, 0.4688030115177985, 0.45013071126549453]"
Partición 2,75.71428571428571,0.0,37.857142857142854,325563.187708,"[0.6525823940054611, 0.6312988179491645, 0.6570974239352274, 0.44914459708379356, 0.537889227569317, 0.511148629804757, 0.9217340259312938, 0.5001484294732151, 0.2897916179353909, 0.5556313968507779, 0.2268466367623605, 0.594810443555502, 0.3292435559358628, 0.20273139152641675, 0.7513542494695795, 0.2076927112583641, 0.6051905153221777, 0.6244523038953649, 0.9930650287306554, 0.39260375999879105, 0.5057105233916396, 0.4343941158103205, 0.661167205636911, 0.38848435305319795, 0.733495240800603, 0.6577140827350276, 0.34152448050618744, 0.5246685911894176, 0.4355097466409049, 0.35607261827709197, 0.2572530667629941, 0.18639014297236522, 0.8531142626535247, 0.83900805126303, 0.34245809042432135, 0.24912363374631477, 0.6027615307212536, 0.6163668098733517, 0.699699008308106, 0.4408793184706128, 0.4141263142018548, 0.7034964101336103, 0.37076806074639423, 0.42583129366015127]"
Partición 3,82.85714285714286,0.0,41.42857142857143,254772.036042,"[0.5342860551065034, 0.23326109234713588, 0.34419208131747553, 0.7676385715552585, 0.5332337664852281, 0.950060547773261, 0.6583531291065929, 0.612305929927754, 0.5643698812461873, 0.4423156607572016, 0.12709688417750636, 0.2795335878477832, 0.8495826042769054, 0.460361535401021, 0.8056610618047954, 0.533551013292204, 0.6376688864420026, 0.49135901840330937, 0.4209651909476766, 0.7221409706649641, 0.6558668163886281, 0.7462048116420682, 0.41795076500425965, 0.36943339389871865, 0.4822062125649695, 0.5078113768930441, 0.34850796702664305, 0.3931779129911758, 0.4816156972184945, 0.30957621003577546, 0.14932874920721345, 0.1679737779448252, 0.8183943275058422, 0.5543112178351048, 0.5027427519457629, 0.4358260534710632, 0.9931038668911769, 0.5593206925630029, 0.9528032752059319, 0.216255411726937, 0.4454982627084067, 0.26606303399072323, 0.3492976997960062, 0.7338016698038277]"
Partición 4,88.57142857142857,0.0,44.285714285714285,416021.445875,"[0.7790780866793651, 0.712631630803947, 0.569825987727994, 0.47290666139292326, 0.6863319928238796, 0.9393900218581445, 0.47619827341898224, 0.23297724235427097, 0.5299679850031125, 0.3981450431484151, 0.1846265773493687, 0.3627782467219674, 0.5590030755594396, 0.36852766276869453, 0.8056332207515111, 0.36899484906956037, 0.6219578181349878, 0.41262998819930113, 0.45184664533050733, 0.680528850004279, 0.46336375579429284, 0.8134413445545525, 0.4806768084736446, 0.5482555784150022, 0.29755905988499876, 0.42524363257044795, 0.6888363333646572, 0.3121410997952141, 0.19899099088440728, 0.6298586542694269, 0.33828167596469355, 0.36997531702023173, 0.852555057376446, 0.24700439769018073, 0.4363641810114076, 0.14193086048045456, 0.42108043205155443, 0.7811992911114141, 0.2769882986894875, 0.24063256453243045, 0.5989630841906722, 0.292575973081481, 0.43304791652906527, 0.1180908365260889]"
Partición 5,85.5072463768116,0.0,42.7536231884058,327994.799167,"[0.34248644932486333, 0.4374155978742156, 0.8719921467103622, 0.19937386099209173, 0.648537389617263, 0.8179542272639162, 0.611379094191457, 0.4781756776215144, 0.9518631799781724, 0.9914442898467152, 0.3988419859261748, 0.2995744652327877, 0.43689450740491137, 0.6969622005682934, 0.32931137779569397, 0.15625150355761522, 0.7082634559019336, 0.13191215060066816, 0.8260140868545417, 0.42739821671857814, 0.941778965531333, 0.5465081097758979, 0.7358684028738027, 0.7208245968757553, 0.7680787723219256, 0.46403407778599487, 0.7768485052150813, 0.553540926683091, 0.1750739996706602, 0.27453405121286817, 0.3644614968323916, 0.34555146360212413, 0.4681554493297033, 0.639137721774806, 0.1994709250155959, 0.3924266495015101, 0.7501534076795813, 0.17393350126140844, 0.7029300477579582, 0.2848246574515451, 0.23304742161765868, 0.44622082391368295, 0.13755943014030347, 0.7353920314372197]"
Medias ,83.10144927536233,0.0,41.550724637681164,349795.9991,"[0.5745317664990793, 0.5137245256658812, 0.669458544453491, 0.4867755437065914, 0.5709350793753812, 0.7807606751847022, 0.7035978984084881, 0.4622017253969684, 0.5358445067083186, 0.6279056048770801, 0.22295897249298013, 0.4191108019185979, 0.5635861502883274, 0.40669102368962007, 0.6187279342796101, 0.38929081086082135, 0.6544721200121979, 0.4918744054124972, 0.669430791047864, 0.5475525252792227, 0.5716832437269788, 0.5523575483965879, 0.5901731555327843, 0.4976164590028379, 0.5273644436272787, 0.5090052447636457, 0.4860330146674137, 0.42522767655719296, 0.39535465503976697, 0.3677383064762948, 0.27350369649795064, 0.2912943733015109, 0.6871192866418623, 0.5319576143939486, 0.43643326198322885, 0.3867878046566441, 0.6111141396700431, 0.49597764361789726, 0.6847873055489321, 0.32309845282562566, 0.47412474030269436, 0.4940566186188728, 0.35189522374591353, 0.49264930853855643]"
Desviación típica,4.753895505866733,0.0,2.3769477529333667,70848.06280075248,"[0.160858677128651, 0.18674441244985468, 0.23021409787600286, 0.20399795788308456, 0.09591343679571088, 0.18508243473410776, 0.1812278882625654, 0.13910901867197295, 0.2605581459080672, 0.24495653811902884, 0.10450604088183461, 0.147769693790094, 0.1994502953101466, 0.18745726204748392, 0.23363388677540928, 0.2196582630957649, 0.046554946525857975, 0.2488810974639138, 0.24420083406615234, 0.1480403388032449, 0.24420073553126517, 0.23944224355690283, 0.1343001211390486, 0.14323189351575807, 0.21495716297513182, 0.0887509549863479, 0.22927439851801412, 0.10839078808034427, 0.21234880168617667, 0.15060836665871183, 0.08424281998476255, 0.10538852190647917, 0.21184414261377912, 0.22937823824873754, 0.1867109997728041, 0.21726976082009197, 0.2763733633844237, 0.23725101525391634, 0.25003754736092937, 0.10678216395312029, 0.17327101658525743, 0.22939228223763625, 0.1289922031707115, 0.25673187280056753]"
